[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]		[s]	v	[s]	v	[s]	v	[s]	v	[s]	v
0.0024000000000000002	-61.337	0.0024000000000000002	-58.247	0.0024000000000000002	-55.193	0.0024000000000000002	-58.776	0.0024000000000000002	-52.781		0.024	-1.8125	0.024	-1.8125	0.024	-1.8125	0.024	-1.8125	0.024	-1.8125
0.0025	-61.317	0.0025	-58.283	0.0025	-55.256	0.0025	-58.786	0.0025	-52.794		0.025	-1.8125	0.025	-1.8125	0.025	-1.8125	0.025	-1.8125	0.025	-1.8125
0.0026000000000000003	-61.353	0.0026000000000000003	-58.313	0.0026000000000000003	-55.295	0.0026000000000000003	-58.783	0.0026000000000000003	-52.85		0.026000000000000002	-1.8125	0.026000000000000002	-1.8125	0.026000000000000002	-1.8125	0.026000000000000002	-1.8125	0.026000000000000002	-1.8125
0.0027	-61.33	0.0027	-58.286	0.0027	-55.18	0.0027	-58.76	0.0027	-52.81		0.027	-1.8125	0.027	-1.8125	0.027	-1.8125	0.027	-1.8125	0.027	-1.8125
0.0028	-61.205	0.0028	-58.224	0.0028	-55.16	0.0028	-58.792	0.0028	-52.807		0.028	-1.8125	0.028	-1.8125	0.028	-1.8125	0.028	-1.8125	0.028	-1.8125
0.0029000000000000002	-61.248	0.0029000000000000002	-58.217	0.0029000000000000002	-55.154	0.0029000000000000002	-58.753	0.0029000000000000002	-52.751		0.029	-1.8125	0.029	-1.8125	0.029	-1.8125	0.029	-1.8125	0.029	-1.8125
0.003	-61.238	0.003	-58.276	0.003	-55.144	0.003	-58.829	0.003	-52.784		0.03	-1.8125	0.03	-1.8125	0.03	-1.8125	0.03	-1.8125	0.03	-1.8125
0.0031000000000000003	-61.291	0.0031000000000000003	-58.306	0.0031000000000000003	-55.144	0.0031000000000000003	-58.812	0.0031000000000000003	-52.774		0.031	-1.8125	0.031	-1.8125	0.031	-1.8125	0.031	-1.8125	0.031	-1.8125
0.0032	-61.277	0.0032	-58.207	0.0032	-55.118	0.0032	-58.799	0.0032	-52.846		0.032	-1.8125	0.032	-1.8125	0.032	-1.8125	0.032	-1.8125	0.032	-1.8125
0.0033	-61.297	0.0033	-58.181	0.0033	-55.174	0.0033	-58.746	0.0033	-52.813		0.033	-1.8125	0.033	-1.8125	0.033	-1.8125	0.033	-1.8125	0.033	-1.8125
0.0034000000000000002	-61.34	0.0034000000000000002	-58.221	0.0034000000000000002	-55.285	0.0034000000000000002	-58.809	0.0034000000000000002	-52.853		0.034	-1.8125	0.034	-1.8125	0.034	-1.8125	0.034	-1.8125	0.034	-1.8125
0.0035	-61.406	0.0035	-58.191	0.0035	-55.252	0.0035	-58.796	0.0035	-52.833		0.035	-1.8125	0.035	-1.8125	0.035	-1.8125	0.035	-1.8125	0.035	-1.8125
0.0036000000000000003	-61.399	0.0036000000000000003	-58.096	0.0036000000000000003	-55.279	0.0036000000000000003	-58.819	0.0036000000000000003	-52.771		0.036000000000000004	-1.8125	0.036000000000000004	-1.8125	0.036000000000000004	-1.8125	0.036000000000000004	-1.8125	0.036000000000000004	-1.8125
0.0037	-61.389	0.0037	-58.165	0.0037	-55.233	0.0037	-58.898	0.0037	-52.879		0.037	-1.8125	0.037	-1.8125	0.037	-1.8125	0.037	-1.8125	0.037	-1.8125
0.0038	-61.448	0.0038	-58.184	0.0038	-55.262	0.0038	-58.677	0.0038	-52.899		0.038	-1.8125	0.038	-1.8125	0.038	-1.8125	0.038	-1.8125	0.038	-1.8125
0.0039000000000000003	-61.475	0.0039000000000000003	-58.244	0.0039000000000000003	-55.285	0.0039000000000000003	-58.694	0.0039000000000000003	-52.896		0.039	-1.8125	0.039	-1.8125	0.039	-1.8125	0.039	-1.8125	0.039	-1.8125
0.004	-61.386	0.004	-58.175	0.004	-55.354	0.004	-58.714	0.004	-53.001		0.04	-1.8125	0.04	-1.8125	0.04	-1.8125	0.04	-1.8125	0.04	-1.8125
0.0041	-61.409	0.0041	-58.188	0.0041	-55.302	0.0041	-58.704	0.0041	-52.981		0.041	-1.8125	0.041	-1.8125	0.041	-1.8125	0.041	-1.8125	0.041	-1.8125
0.004200000000000001	-61.422	0.004200000000000001	-58.191	0.004200000000000001	-55.292	0.004200000000000001	-58.707	0.004200000000000001	-53.099		0.042	-1.8125	0.042	-1.8125	0.042	-1.8125	0.042	-1.8125	0.042	-1.8125
0.0043	-61.356	0.0043	-58.257	0.0043	-55.335	0.0043	-58.684	0.0043	-53.08		0.043000000000000003	-1.8125	0.043000000000000003	-1.8125	0.043000000000000003	-1.8125	0.043000000000000003	-1.8125	0.043000000000000003	-1.8125
0.0044	-61.419	0.0044	-58.204	0.0044	-55.289	0.0044	-58.671	0.0044	-52.981		0.044	-1.8125	0.044	-1.8125	0.044	-1.8125	0.044	-1.8125	0.044	-1.8125
0.0045000000000000005	-61.402	0.0045000000000000005	-58.227	0.0045000000000000005	-55.292	0.0045000000000000005	-58.648	0.0045000000000000005	-53.007		0.045	-1.8125	0.045	-1.8125	0.045	-1.8125	0.045	-1.8125	0.045	-1.8125
0.0046	-61.317	0.0046	-58.201	0.0046	-55.371	0.0046	-58.628	0.0046	-53.024		0.046	-1.8125	0.046	-1.8125	0.046	-1.8125	0.046	-1.8125	0.046	-1.8125
0.0047	-61.366	0.0047	-58.316	0.0047	-55.413	0.0047	-58.579	0.0047	-52.958		0.047	-1.8125	0.047	-1.8125	0.047	-1.8125	0.047	-1.8125	0.047	-1.8125
0.0048000000000000004	-61.402	0.0048000000000000004	-58.204	0.0048000000000000004	-55.367	0.0048000000000000004	-58.595	0.0048000000000000004	-53.07		0.048	-1.8125	0.048	-1.8125	0.048	-1.8125	0.048	-1.8125	0.048	-1.8125
0.0049	-61.386	0.0049	-58.29	0.0049	-55.325	0.0049	-58.562	0.0049	-53.04		0.049	-1.8125	0.049	-1.8125	0.049	-1.8125	0.049	-1.8125	0.049	-1.8125
0.005	-61.379	0.005	-58.283	0.005	-55.315	0.005	-58.592	0.005	-52.945		0.05	-1.8125	0.05	-1.8125	0.05	-1.8125	0.05	-1.8125	0.05	-1.8125
0.0051	-61.379	0.0051	-58.306	0.0051	-55.318	0.0051	-58.602	0.0051	-52.961		0.051000000000000004	-1.8125	0.051000000000000004	-1.8125	0.051000000000000004	-1.8125	0.051000000000000004	-1.8125	0.051000000000000004	-1.8125
0.005200000000000001	-61.346	0.005200000000000001	-58.345	0.005200000000000001	-55.315	0.005200000000000001	-58.579	0.005200000000000001	-52.971		0.052000000000000005	-1.8125	0.052000000000000005	-1.8125	0.052000000000000005	-1.8125	0.052000000000000005	-1.8125	0.052000000000000005	-1.8125
0.0053	-61.343	0.0053	-58.309	0.0053	-55.344	0.0053	-58.559	0.0053	-52.988		0.053	-1.8125	0.053	-1.8125	0.053	-1.8125	0.053	-1.8125	0.053	-1.8125
0.0054	-61.419	0.0054	-58.309	0.0054	-55.256	0.0054	-58.556	0.0054	-52.981		0.054	-1.8125	0.054	-1.8125	0.054	-1.8125	0.054	-1.8125	0.054	-1.8125
0.0055000000000000005	-61.35	0.0055000000000000005	-58.378	0.0055000000000000005	-55.229	0.0055000000000000005	-58.526	0.0055000000000000005	-52.915		0.055	-1.8125	0.055	-1.8125	0.055	-1.8125	0.055	-1.8125	0.055	-1.8125
0.0056	-61.317	0.0056	-58.352	0.0056	-55.22	0.0056	-58.46	0.0056	-52.883		0.056	-1.8125	0.056	-1.8125	0.056	-1.8125	0.056	-1.8125	0.056	-1.8125
0.0057	-61.323	0.0057	-58.326	0.0057	-55.239	0.0057	-58.536	0.0057	-52.945		0.057	-1.8125	0.057	-1.8125	0.057	-1.8125	0.057	-1.8125	0.057	-1.8125
0.0058000000000000005	-61.422	0.0058000000000000005	-58.329	0.0058000000000000005	-55.239	0.0058000000000000005	-58.447	0.0058000000000000005	-52.892		0.058	-1.8125	0.058	-1.8125	0.058	-1.8125	0.058	-1.8125	0.058	-1.8125
0.0059	-61.399	0.0059	-58.365	0.0059	-55.19	0.0059	-58.477	0.0059	-52.952		0.059000000000000004	-1.8125	0.059000000000000004	-1.8125	0.059000000000000004	-1.8125	0.059000000000000004	-1.8125	0.059000000000000004	-1.8125
0.006	-61.383	0.006	-58.447	0.006	-55.17	0.006	-58.329	0.006	-53.034		0.06	-1.8125	0.06	-1.8125	0.06	-1.8125	0.06	-1.8125	0.06	-1.8125
0.0061	-61.369	0.0061	-58.451	0.0061	-55.101	0.0061	-58.418	0.0061	-53.113		0.061	-1.8125	0.061	-1.8125	0.061	-1.8125	0.061	-1.8125	0.061	-1.8125
0.006200000000000001	-61.422	0.006200000000000001	-58.543	0.006200000000000001	-55.177	0.006200000000000001	-58.352	0.006200000000000001	-53.168		0.062	-1.8125	0.062	-1.8125	0.062	-1.8125	0.062	-1.8125	0.062	-1.8125
0.0063	-61.353	0.0063	-58.487	0.0063	-55.104	0.0063	-58.372	0.0063	-53.106		0.063	-1.8125	0.063	-1.8125	0.063	-1.8125	0.063	-1.8125	0.063	-1.8125
0.0064	-61.376	0.0064	-58.52	0.0064	-55.137	0.0064	-58.345	0.0064	-53.053		0.064	-1.8125	0.064	-1.8125	0.064	-1.8125	0.064	-1.8125	0.064	-1.8125
0.006500000000000001	-61.379	0.006500000000000001	-58.566	0.006500000000000001	-55.118	0.006500000000000001	-58.326	0.006500000000000001	-53.03		0.065	-1.8125	0.065	-1.8125	0.065	-1.8125	0.065	-1.8125	0.065	-1.8125
0.0066	-61.36	0.0066	-58.566	0.0066	-55.147	0.0066	-58.375	0.0066	-53.044		0.066	-1.8125	0.066	-1.8125	0.066	-1.8125	0.066	-1.8125	0.066	-1.8125
0.0067	-61.415	0.0067	-58.474	0.0067	-55.252	0.0067	-58.349	0.0067	-52.952		0.067	-1.8125	0.067	-1.8125	0.067	-1.8125	0.067	-1.8125	0.067	-1.8125
0.0068000000000000005	-61.383	0.0068000000000000005	-58.533	0.0068000000000000005	-55.259	0.0068000000000000005	-58.336	0.0068000000000000005	-52.915		0.068	-1.8125	0.068	-1.8125	0.068	-1.8125	0.068	-1.8125	0.068	-1.8125
0.006900000000000001	-61.448	0.006900000000000001	-58.48	0.006900000000000001	-55.229	0.006900000000000001	-58.26	0.006900000000000001	-52.896		0.069	-1.8125	0.069	-1.8125	0.069	-1.8125	0.069	-1.8125	0.069	-1.8125
0.007	-61.432	0.007	-58.52	0.007	-55.197	0.007	-58.244	0.007	-52.889		0.07	-1.8125	0.07	-1.8125	0.07	-1.8125	0.07	-1.8125	0.07	-1.8125
0.0071	-61.402	0.0071	-58.569	0.0071	-55.21	0.0071	-58.234	0.0071	-52.929		0.07100000000000001	-1.8125	0.07100000000000001	-1.8125	0.07100000000000001	-1.8125	0.07100000000000001	-1.8125	0.07100000000000001	-1.8125
0.007200000000000001	-61.373	0.007200000000000001	-58.487	0.007200000000000001	-55.206	0.007200000000000001	-58.247	0.007200000000000001	-52.925		0.07200000000000001	-1.8125	0.07200000000000001	-1.8125	0.07200000000000001	-1.8125	0.07200000000000001	-1.8125	0.07200000000000001	-1.8125
0.0073	-61.307	0.0073	-58.503	0.0073	-55.269	0.0073	-58.28	0.0073	-52.886		0.073	-1.8125	0.073	-1.8125	0.073	-1.8125	0.073	-1.8125	0.073	-1.8125
