"","Class","Name","InChIKey","CID","CAS","model.response"
"1",NA,"sfr","SFR","SFR","SFR",0
"2","other","water","XLYOFNOQVPJJNP-UHFFFAOYSA-N","962","7732-18-5",0.041
"3","amine","ammonium hydroxide","VHUUQVKOLVNVRT-UHFFFAOYSA-N","14923","1336-21-6",-0.051
"4","amine","putrescine","KIDHWZJUCRJVML-UHFFFAOYSA-N","1045","110-60-1",0.093
"18","acid","propanoic acid","XBDQKXXYIPTUBI-UHFFFAOYSA-N","1032","79-09-4",0.125
"19","acid","butyric acid","FERIUCNNQQJTOY-UHFFFAOYSA-N","264","107-92-6",-0.031
"44","terpene","geranyl acetate","HIGQPQRQIQDZMP-DHZHZOJOSA-N","1549026","105-87-3",0.063
"57","terpene","(1R)-(-)-fenchone","LHXDLQBQYFFVNW-OIBJUYFYSA-N","14525","7787-20-4",0.02
"61","terpene","(+)-alpha-pinene","GRWFGVWFFZKLTI-RKDXNWHRSA-N","82227","7785-70-8",-0.044
"70","aldehyde","propanal","NBBJYMSMWIIQGU-UHFFFAOYSA-N","527","123-38-6",0.406
"74","aldehyde","E2-hexenal","MBDOYVRWFFCFHM-SNAWJCMRSA-N","5281168","6728-26-3",0.515
"83","ketone","acetone","CSCPPACGZOOCGX-UHFFFAOYSA-N","180","67-64-1",0.27
"84","ketone","2-butanone","ZWEHNKRNPOVVGH-UHFFFAOYSA-N","6569","78-93-3",0.77
"86","ketone","2-heptanone","CATSNJVOTSVZJV-UHFFFAOYSA-N","8051","110-43-0",0.459
"87","ketone","6-methyl-5-hepten-2-one","UHEPJGULSIKKTP-UHFFFAOYSA-N","9862","110-93-0",0.394
"88","ketone","2,3-butanedione","QSJXEFYPDANLFS-UHFFFAOYSA-N","650","431-03-8",0.616
"93","ketone","cyclohexanone","JHIVVAPYMSGYDF-UHFFFAOYSA-N","7967","108-94-1",0.171
"99","arom","methyl salicylate","OSWPMRLSEDHDFF-UHFFFAOYSA-N","4133","119-36-8",0.032
"103","arom","benzaldehyde","HUMNYLRZRPPJDN-UHFFFAOYSA-N","240","100-52-7",0.056
"105","arom","acetophenone","KWOLFJPFCHCOCG-UHFFFAOYSA-N","7410","98-86-2",0.12
"107","arom","2-methylphenol","QWVGKYWNOKOFNN-UHFFFAOYSA-N","335","95-48-7",-0.046
"115","arom","4-methoxybenzene","RDOXTESZEPMUJZ-UHFFFAOYSA-N","7519","100-66-3",0.09
"116","arom","4-allyl-1,2-dimethoxybenzene","ZYEMGPIYFIJGTP-UHFFFAOYSA-N","7127","93-15-2",-0.008
"120","arom","4-methylphenol","IWDCLRJOBJJRNH-UHFFFAOYSA-N","2879","106-44-5",-0.016
"135","alcohol","1-butanol","LRHPLDYGYMQRHN-UHFFFAOYSA-N","263","71-36-3",0.228
"137","alcohol","1-hexanol","ZSIAUFGUXNUGDI-UHFFFAOYSA-N","8103","111-27-3",0.396
"144","alcohol","1-octen-3-ol","VSMOENVRRABVKN-UHFFFAOYSA-N","18827","3391-86-4",0.072
"153","alcohol","4-methylcyclohexanol","MQWCXKGKQLNYQG-UHFFFAOYSA-N","11524","589-91-3",0.061
"154","alcohol","1-heptanol","BBMCTIGTTCKYKF-UHFFFAOYSA-N","8129","111-70-6",0.116
"155","alcohol","3-octanol","NMRPBPVERJPACX-UHFFFAOYSA-N","11527","589-98-0",0.094
"156","alcohol","1-nonanol","ZWRUINPWMLAQRD-UHFFFAOYSA-N","8914","143-08-8",-0.011
"163","ester","methyl acetate","KXKVLQRXCPHEJC-UHFFFAOYSA-N","6584","79-20-9",0.608
"164","ester","ethyl acetate","XEKOWRVHYACXOJ-UHFFFAOYSA-N","8857","141-78-6",0.723
"165","ester","propyl acetate","YKYONYBAUNKHLG-UHFFFAOYSA-N","7997","109-60-4",0.815
"167","ester","pentyl acetate","PGMYKACGEOXYJE-UHFFFAOYSA-N","12348","628-63-7",0.1
"170","ester","isopentyl acetate","MLFHJEHSLIIPHL-UHFFFAOYSA-N","31276","123-92-2",0.274
"171","ester","E2-hexenyl acetate","HRHOWZHRCRZVCU-WAYWQWQTSA-N","2733294","2497-18-9",0.258
"173","ester","ethyl butyrate","OBNCKNCVKJNDBV-UHFFFAOYSA-N","7762","105-54-4",0.739
"187","ester","octyl acetate","YLYBTZIQSIBWLI-UHFFFAOYSA-N","8164","112-14-1",-0.025
"192","N ring","indole","SIKJAQJRHWYJAI-UHFFFAOYSA-N","798","120-72-9",-0.051
"201","ester","ethyl pentanoate","ICMAFTSLXCXHRK-UHFFFAOYSA-N","10882","539-82-2",0.108
"221","other","oil","solvent","solvent","solvent",0.019
"225","other","carbon dioxide","CURLTUGMZLYLDI-UHFFFAOYSA-N","280","124-38-9",0.065
"228","other","11-cis vaccenyl acetate","QSZKEDWVAOAFQY-HJWRWDBZSA-N","5363286","6186-98-7",0.132
"286",NA,"pyrazine","KYQCOXFCLRTKLS-UHFFFAOYSA-N","9261","290-37-9",-0.05
"289",NA,"phenylacetone","QCCDLTOVEPVEJK-UHFFFAOYSA-N","7678","103-79-7",0.487
"312",NA,"chlorine","ZKQDCIXGCQPQNV-UHFFFAOYSA-N","24341","7778-54-3",-0.058
"313",NA,"methyldiethanolamine","CRVGTESFCCXCTH-UHFFFAOYSA-N","7767","105-59-9",-0.008
"314",NA,"ethyldiethanolamine","AKNUHUCEWALCOI-UHFFFAOYSA-O","6950113","139-87-7",-0.056
"315",NA,"diethyl phosphite","OSPSWZSRKYCQPF-UHFFFAOYSA-N","6327349","1809-19-4",-0.056
"316",NA,"triethyl phosphite","BDZBKCUKTQZUTL-UHFFFAOYSA-N","31215","122-52-1",0.284
"317",NA,"2,3-dimethyl-2,3-dinitrobutane","DWCLXOREGBLXTD-UHFFFAOYSA-N","77577","3964-18-9",-0.082
"318",NA,"2-ethyl-1-hexanol","YIWUKEYIRIRTPP-UHFFFAOYSA-N","7720","104-76-7",0.167
"319",NA,"hexamine","VKYKSIONXSXAKP-UHFFFAOYSA-N","4101","100-97-0",-0.059
"320",NA,"hydrogen peroxide","MHAJPDPJQMAIIY-UHFFFAOYSA-N","784","7722-84-1",-0.033
"321",NA,"nitric acid","GRYLNZFGIOXLOG-UHFFFAOYSA-N","944","7697-37-2",0.038
