"","Class","Name","InChIKey","CID","CAS","model.response"
"1",NA,"sfr","SFR","SFR","SFR",0
"6","amine","ammonia","QGZKDVFQNNGYKY-UHFFFAOYSA-N","222","7664-41-7",0.092
"7","amine","ethanolamine","HZAXFHJVJLSVMW-UHFFFAOYSA-N","700","141-43-5",-0.078
"16","acid","methanoic acid","BDAGIHXWWSANSR-UHFFFAOYSA-N","284","64-18-6",0.124
"17","acid","acetic acid","QTBSBXVTEAMEQO-UHFFFAOYSA-N","176","64-19-7",0.037
"18","acid","propanoic acid","XBDQKXXYIPTUBI-UHFFFAOYSA-N","1032","79-09-4",0
"19","acid","butyric acid","FERIUCNNQQJTOY-UHFFFAOYSA-N","264","107-92-6",0
"21","acid","hexanoic acid","FUZZWVXGSFPDMH-UHFFFAOYSA-N","8892","142-62-1",0.046
"24","acid","nonanoic acid","FBUKVWPVBMHYJY-UHFFFAOYSA-N","8158","112-05-0",0.046
"27","acid","isopentanoic acid","GWYFCOCPABKNJV-UHFFFAOYSA-N","10430","503-74-2",0
"31","sulfid","3-methylthio-1-propanol","CZUGFKJYCPYHHV-UHFFFAOYSA-N","10448","505-10-2",-0.032
"33","sulfid","dipropyldisulphide","ALVPFGSHPUPROW-UHFFFAOYSA-N","12377","629-19-6",0
"41","terpene","beta-myrcene","UAHWPYUMFXYFJY-UHFFFAOYSA-N","31253","123-35-3",0
"43","terpene","p-cymene","HFPZCAJZSCWRBC-UHFFFAOYSA-N","7463","99-87-6",0
"44","terpene","geranyl acetate","HIGQPQRQIQDZMP-DHZHZOJOSA-N","1549026","105-87-3",0.244
"46","terpene","geraniol","GLZPCOQZEFWAFX-JXMROGBWSA-N","637566","106-24-1",0.046
"47","terpene","nerol","GLZPCOQZEFWAFX-YFHOEESVSA-N","643820","106-25-2",0
"48","terpene","linalool","CDOSHBSSFJOMGT-UHFFFAOYSA-N","6549","78-70-6",0
"51","terpene","(R)-(-)-carvone","ULDHMXUKGWMISQ-SECBINFHSA-N","439570","6485-40-1",0.014
"53","terpene","1,8-cineole","WEEGYLXZBRQIMU-WAAGHKOSSA-N","2758","470-82-6",-0.046
"58","terpene","(R)-(+)-limonene","XMGQYMWWDOXHJM-JTQLQIEISA-N","440917","5989-27-5",-0.046
"61","terpene","(+)-alpha-pinene","GRWFGVWFFZKLTI-RKDXNWHRSA-N","82227","7785-70-8",-0.014
"66","terpene","alpha-ionone","UZFLPKAIBPNNCA-BQYQJAHWSA-N","5282108","127-41-3",0
"71","aldehyde","butanal","ZTQSAGDEMFDKMZ-UHFFFAOYSA-N","261","123-72-8",0.124
"72","aldehyde","pentanal","HGBOYTHUEUWSSQ-UHFFFAOYSA-N","8063","110-62-3",0.276
"73","aldehyde","hexanal","JARKCYVAAOWBJS-UHFFFAOYSA-N","6184","66-25-1",0.23
"74","aldehyde","E2-hexenal","MBDOYVRWFFCFHM-SNAWJCMRSA-N","5281168","6728-26-3",0.171
"75","O ring","furfural","HYBBIBNJHNGZAN-UHFFFAOYSA-N","7362","98-01-1",0.106
"77","aldehyde","octanal","NUJGJRNETVAIRJ-UHFFFAOYSA-N","454","124-13-0",0.046
"78","aldehyde","decanal","KSMVZQYAVGTKIV-UHFFFAOYSA-N","8175","112-31-2",0.046
"79","aldehyde","heptanal","FXHGMKSSBGDXIY-UHFFFAOYSA-N","8130","111-71-7",0.078
"80","aldehyde","E2-octenal","LVBXEMGDVWVTGY-VOTSOKGWSA-N","5283324","2548-87-0",0.171
"81","aldehyde","nonanal","GYHFUZHODSMOHU-UHFFFAOYSA-N","31289","124-19-6",0.037
"83","ketone","acetone","CSCPPACGZOOCGX-UHFFFAOYSA-N","180","67-64-1",0.046
"84","ketone","2-butanone","ZWEHNKRNPOVVGH-UHFFFAOYSA-N","6569","78-93-3",0.184
"85","ketone","2-pentanone","XNLICIUVMPYHGG-UHFFFAOYSA-N","7895","107-87-9",0.106
"86","ketone","2-heptanone","CATSNJVOTSVZJV-UHFFFAOYSA-N","8051","110-43-0",0.124
"88","ketone","2,3-butanedione","QSJXEFYPDANLFS-UHFFFAOYSA-N","650","431-03-8",0.078
"91","ketone","2-hexanone","QQZOPKMRPOGIEB-UHFFFAOYSA-N","11583","591-78-6",0.217
"93","ketone","cyclohexanone","JHIVVAPYMSGYDF-UHFFFAOYSA-N","7967","108-94-1",0.152
"94","ketone","2-octanone","ZPVFWPFBNIEHGJ-UHFFFAOYSA-N","8093","111-13-7",0.092
"96","ketone","3-heptanone","NGAZZOYFWWSOGK-UHFFFAOYSA-N","7802","106-35-4",0.078
"97","arom","phenethyl alcohol","WRMNZCZEMHIOCP-UHFFFAOYSA-N","6054","60-12-8",0.032
"98","arom","benzyl alcohol","WVDDGKGOMKODPV-UHFFFAOYSA-N","244","100-51-6",0.046
"99","arom","methyl salicylate","OSWPMRLSEDHDFF-UHFFFAOYSA-N","4133","119-36-8",-0.014
"103","arom","benzaldehyde","HUMNYLRZRPPJDN-UHFFFAOYSA-N","240","100-52-7",0.198
"109","arom","eugenol","RRAFCDWBNXTKKO-UHFFFAOYSA-N","3314","97-53-0",0.014
"114","arom","4-isopropylbenzaldehyde","WTWBUQJHJGUZCY-UHFFFAOYSA-N","326","122-03-2",0.014
"116","arom","4-allyl-1,2-dimethoxybenzene","ZYEMGPIYFIJGTP-UHFFFAOYSA-N","7127","93-15-2",0
"132","alcohol","methanol","OKKJLVBELUTLKV-UHFFFAOYSA-N","887","67-56-1",0
"133","alcohol","ethanol","LFQSCWFLJHTTHZ-UHFFFAOYSA-N","702","64-17-5",0
"134","alcohol","1-propanol","BDERNNFJNOPAEC-UHFFFAOYSA-N","1031","71-23-8",0.009
"135","alcohol","1-butanol","LRHPLDYGYMQRHN-UHFFFAOYSA-N","263","71-36-3",0.078
"136","alcohol","1-pentanol","AMQJEAYHLZJPGS-UHFFFAOYSA-N","6276","71-41-0",0.152
"137","alcohol","1-hexanol","ZSIAUFGUXNUGDI-UHFFFAOYSA-N","8103","111-27-3",0.078
"138","alcohol","1-octanol","KBPLFHHGFOOTCA-UHFFFAOYSA-N","957","111-87-5",0.106
"139","alcohol","2-octanol","SJWFXCIHNDVPSH-UHFFFAOYSA-N","20083","123-96-6",0.078
"140","alcohol","2-pentanol","JYVLIDXNZAXMDK-UHFFFAOYSA-N","22386","6032-29-7",0.23
"141","alcohol","3-methyl-butanol","PHTQWCKDNZKARW-UHFFFAOYSA-N","31260","123-51-3",0.152
"144","alcohol","1-octen-3-ol","VSMOENVRRABVKN-UHFFFAOYSA-N","18827","3391-86-4",0.06
"145","alcohol","E2-hexenol","ZCHHRLHTBGRGOT-SNAWJCMRSA-N","5318042","928-95-0",0.171
"146","alcohol","Z2-hexenol","ZCHHRLHTBGRGOT-PLNGDYQASA-N","5324489","928-94-9",0.06
"153","alcohol","4-methylcyclohexanol","MQWCXKGKQLNYQG-UHFFFAOYSA-N","11524","589-91-3",0.078
"155","alcohol","3-octanol","NMRPBPVERJPACX-UHFFFAOYSA-N","11527","589-98-0",0.046
"156","alcohol","1-nonanol","ZWRUINPWMLAQRD-UHFFFAOYSA-N","8914","143-08-8",-0.014
"159","alcohol","2-hexanol","QNVRIHYSUZMSGM-UHFFFAOYSA-N","12297","626-93-7",0.184
"160","alcohol","3-hexanol","ZOCHHNOQQHDWHG-UHFFFAOYSA-N","12178","623-37-0",0.857
"162","alcohol","isobutyl alcohol","ZXEKIIBDNHEJCQ-UHFFFAOYSA-N","6560","78-83-1",0.092
"164","ester","ethyl acetate","XEKOWRVHYACXOJ-UHFFFAOYSA-N","8857","141-78-6",0.23
"165","ester","propyl acetate","YKYONYBAUNKHLG-UHFFFAOYSA-N","7997","109-60-4",0.152
"167","ester","pentyl acetate","PGMYKACGEOXYJE-UHFFFAOYSA-N","12348","628-63-7",0.014
"168","ester","hexyl acetate","AOGQPLXWSUTHQB-UHFFFAOYSA-N","8908","142-92-7",0.06
"170","ester","isopentyl acetate","MLFHJEHSLIIPHL-UHFFFAOYSA-N","31276","123-92-2",0.014
"173","ester","ethyl butyrate","OBNCKNCVKJNDBV-UHFFFAOYSA-N","7762","105-54-4",0.06
"176","ester","ethyl propionate","FKRCODPIKNYEAC-UHFFFAOYSA-N","7749","105-37-3",0.152
"187","ester","octyl acetate","YLYBTZIQSIBWLI-UHFFFAOYSA-N","8164","112-14-1",-0.032
"199","ester","ethyl 2-methylbutanoate","HCRBXQFHJMCTLF-UHFFFAOYSA-N","24020","7452-79-1",0
"218","O ring","gamma-valerolactone","GAEKPEKOJKCEMS-UHFFFAOYSA-N","7921","108-29-2",0
"226","N ring","2-isobutyl-3-methoxypyrazine","UXFSPRAGHGMRSQ-UHFFFAOYSA-N","32594","24683-00-9",-0.014
"234","other","hexane","VLKZOEOYAKHREP-UHFFFAOYSA-N","8058","110-54-3",0
"263",NA,"3-octanone","RHLVCLIPMVJYKS-UHFFFAOYSA-N","246728","106-68-3",0.06
"294",NA,"linalyl acetate","UWKAYLJWKGQEPM-UHFFFAOYSA-N","8294","115-95-7",0.014
"302",NA,"toluene","YXFVVABEGXRONW-UHFFFAOYSA-N","1140","108-88-3",0.138
"307","alcohol","(2S)-heptan-2-ol","CETWDUZRCINIHU-ZETCQYMHSA-N","2724897","6033-23-4",0.138
"338",NA,"2-ethylpyrazine","KVFIJIWMDBAGDP-UHFFFAOYSA-N","26331","13925-00-3",0.23
"342",NA,"2-methoxypyrazine","WKSXRWSOSLGSTN-UHFFFAOYSA-N","18467","3149-28-8",0.198
"354",NA,"2-methoxy-3-methylpyrazine","VKJIAEQRKBQLLA-UHFFFAOYSA-N","17898","2847-30-5",0.152
"355",NA,"2,3-dimethylpyrazine","OXQOBQJCDNLAPO-UHFFFAOYSA-N","22201","5910-89-4",-0.032
"359",NA,"2-methylpyrazine","CAWHJQAVHZEVTJ-UHFFFAOYSA-N","7976","109-08-0",0.198
"413",NA,"4-methylvaleric acid","FGKJLKRYENPLQH-UHFFFAOYSA-N","12587","646-07-1",0.032
"525","terpenes","valencene","QEBNYNLSCGVZOH-UHFFFAOYSA-N","288227","4630-07-3",-0.032
"544","aromatics","benzyl benzoate","SESFRYSPDFLNCH-UHFFFAOYSA-N","2345","120-51-4",0
"591",NA,"(+)-limonene oxide","CCEFMUBVSUDRLG-XNWIYYODSA-N","441245","203719-54-4",0.032
"638",NA,"1,1-dimethoxyethane","SPEUIVXLLWOEMJ-UHFFFAOYSA-N","10795","534-15-6",0.415
"639",NA,"1,3-propanedithiol","ZJLMKPKYJBQJNH-UHFFFAOYSA-N","8013","109-80-8",0.124
"640",NA,"2,4,5-trimethylthiazole","BAMPVSWRQZNDQC-UHFFFAOYSA-N","61653","13623-11-5",0.323
"641",NA,"2-acetylthiazole","MOMFXATYAINJML-UHFFFAOYSA-N","520108","24295-03-2",-0.06
"642",NA,"(+)-2-butanol","BTANRVKWQNVYAZ-BYPYZUCNSA-N","444683",NA,0.078
"643",NA,"2-butanol","BTANRVKWQNVYAZ-UHFFFAOYSA-N","6568","4221-99-2",0.078
"644",NA,"2-decanone","ZAJNGDIORYACQU-UHFFFAOYSA-N","12741","693-54-9",0.032
"645",NA,"2-isobutylthiazole","CMPVUVUNJQERIT-UHFFFAOYSA-N","62725","18640-74-9",0.138
"646",NA,"2-methylcyclohexanol","NDVWOBYBJYUSMF-UHFFFAOYSA-N","11418","615-39-4",0.77
"647",NA,"(+)-3-heptanol","RZKSECIXORKHQS-UHFFFAOYSA-N","11520","40617-58-1",0.244
"648",NA,"3-pentanone","FDPIMTJIUBPUKL-UHFFFAOYSA-N","7288","96-22-0",0.198
"649",NA,"4,5-dimethylthiazole","UWSONZCNXUSTKW-UHFFFAOYSA-N","62510","3581-91-7",0.217
"650",NA,"4-methylthiazole","QMHIMXFNBOYPND-UHFFFAOYSA-N","12748","693-95-8",0.244
"651",NA,"4-penten-1-ol","LQAVWYMTUMSFBE-UHFFFAOYSA-N","13181","821-09-0",0.078
"652",NA,"7-oxabicyclo[2.2.1]-heptane","YPWFNLSXQIGJCK-UHFFFAOYSA-N","9234","279-49-2",0.369
"653",NA,"benzylamine","WGQKYBSKWIADBV-UHFFFAOYSA-N","7504","100-46-9",0.171
"654",NA,"benzyl trans-2-methyl-2-butenoate","QRGSTISKDZCDHV-XCVCLJGOSA-N","250096","37526-88-8",-0.014
"655",NA,"(-)-carveol","BAVONGHXFVOKBV-RGURZIINSA-N","11084068",NA,0
"656",NA,"chlorobenzene","MVPPADPHJFYWMZ-UHFFFAOYSA-N","7964","68411-45-0",0.138
"657",NA,"citral","WTEVQBCEXWBHNA-UHFFFAOYSA-N","8843",NA,0.078
"658",NA,"citronellyl acetate","JOZKFWLRHCDGJA-UHFFFAOYSA-N","9017","20425-54-1",0.06
"659",NA,"dimethoxymethane","NKDDWNXOKDWJAK-UHFFFAOYSA-N","8020","109-87-5",0.244
"660",NA,"ethyl isobutyrate","WDAXFOBOLVPGLV-UHFFFAOYSA-N","7342","97-62-1",0.06
"661",NA,"farnesal","YHRUHBBTQZKMEX-YFVJMOTDSA-N","5280598","19317-11-4",0.046
"662",NA,"farnesol","CRDAMVZIKSXKFV-UHFFFAOYSA-N","3327",NA,0.922
"663",NA,"furfuryl heptanoate","VZRGLBPRLIGTPE-UHFFFAOYSA-N","557223",NA,0.014
"664",NA,"furfuryl octanoate","JNIWCVWKECYDSV-UHFFFAOYSA-N","61985","39252-03-4",0
"665",NA,"pentane","OFBQJSOFQDEBGM-UHFFFAOYSA-N","8003","109-66-0",-0.014
"666",NA,"(R)-(+)-citronellal","NEHNMFOYXAPHSD-SNVBAGLBSA-N","75427","106-23-0",0.092
"667",NA,"thiazole","FZWLAAWBMGSTSO-UHFFFAOYSA-N","9256","288-47-1",0.244
"668",NA,"xylenes","UERBALMVMSYIMI-UHFFFAOYSA-N","16211355",NA,0
"669",NA,"beta-citronellol","QMVPMAAFGQKVCJ-UHFFFAOYSA-N","8842","141-25-3",0.198
