"","Class","Name","InChIKey","CID","CAS","model.response"
"1",NA,"sfr","SFR","SFR","SFR",0
"2","other","water","XLYOFNOQVPJJNP-UHFFFAOYSA-N","962","7732-18-5",0.069
"3","amine","ammonium hydroxide","VHUUQVKOLVNVRT-UHFFFAOYSA-N","14923","1336-21-6",0.042
"4","amine","putrescine","KIDHWZJUCRJVML-UHFFFAOYSA-N","1045","110-60-1",0.025
"5","amine","cadaverine","VHRGRCVQAFMJIZ-UHFFFAOYSA-N","273","462-94-2",-0.006
"6","amine","ammonia","QGZKDVFQNNGYKY-UHFFFAOYSA-N","222","7664-41-7",0.058
"7","amine","ethanolamine","HZAXFHJVJLSVMW-UHFFFAOYSA-N","700","141-43-5",0.06
"11","O ring","gamma-butyrolactone","YEJRWHAVMIAJKC-UHFFFAOYSA-N","7302","96-48-0",0.107
"12","O ring","gamma-hexalactone","JBFHTYHTHYHCDJ-UHFFFAOYSA-N","12756","695-06-7",0.003
"13","O ring","gamma-octalactone","IPBFYZQJXZJBFQ-UHFFFAOYSA-N","7704","104-50-7",0.017
"14","O ring","gamma-decalactone","IFYYFLINQYPWGJ-UHFFFAOYSA-N","12813","706-14-9",0.032
"15","O ring","delta-decalactone","GHBSPIPJMLAMEP-UHFFFAOYSA-N","12810","705-86-2",0.027
"16","acid","methanoic acid","BDAGIHXWWSANSR-UHFFFAOYSA-N","284","64-18-6",0.028
"17","acid","acetic acid","QTBSBXVTEAMEQO-UHFFFAOYSA-N","176","64-19-7",0.036
"18","acid","propanoic acid","XBDQKXXYIPTUBI-UHFFFAOYSA-N","1032","79-09-4",0.009
"19","acid","butyric acid","FERIUCNNQQJTOY-UHFFFAOYSA-N","264","107-92-6",0.093
"20","acid","pentanoic acid","NQPDZGIKBAWPEJ-UHFFFAOYSA-N","7991","109-52-4",0.088
"21","acid","hexanoic acid","FUZZWVXGSFPDMH-UHFFFAOYSA-N","8892","142-62-1",0.056
"22","acid","heptanoic acid","MNWFXJYAOYHMED-UHFFFAOYSA-N","8094","111-14-8",0.042
"23","acid","octanoic acid","WWZKQHOCKIZLMA-UHFFFAOYSA-N","379","124-07-2",0.04
"24","acid","nonanoic acid","FBUKVWPVBMHYJY-UHFFFAOYSA-N","8158","112-05-0",0.035
"25","acid","linoleic acid","OYHQOLUKZRVURQ-HZJYTTRNSA-N","5280450","60-33-3",0.26
